Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154032;      Kevelaer, Stadt;NAT;Nationalität;NATA;Ausländer;3476
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154036;      Kleve, Stadt;NAT;Nationalität;;Insgesamt;52388
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154036;      Kleve, Stadt;NAT;Nationalität;NATD;Deutsche;41032
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154036;      Kleve, Stadt;NAT;Nationalität;NATA;Ausländer;11356
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154040;      Kranenburg;NAT;Nationalität;;Insgesamt;10719
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154040;      Kranenburg;NAT;Nationalität;NATD;Deutsche;7053
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154040;      Kranenburg;NAT;Nationalität;NATA;Ausländer;3666
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154044;      Rees, Stadt;NAT;Nationalität;;Insgesamt;21100
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154044;      Rees, Stadt;NAT;Nationalität;NATD;Deutsche;19762
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154044;      Rees, Stadt;NAT;Nationalität;NATA;Ausländer;1338
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154048;      Rheurdt;NAT;Nationalität;;Insgesamt;6515
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154048;      Rheurdt;NAT;Nationalität;NATD;Deutsche;6176
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154048;      Rheurdt;NAT;Nationalität;NATA;Ausländer;339
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154052;      Straelen, Stadt;NAT;Nationalität;;Insgesamt;16257
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154052;      Straelen, Stadt;NAT;Nationalität;NATD;Deutsche;13737
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154052;      Straelen, Stadt;NAT;Nationalität;NATA;Ausländer;2520
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154056;      Uedem;NAT;Nationalität;;Insgesamt;8224
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154056;      Uedem;NAT;Nationalität;NATD;Deutsche;7494
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05154056;      Uedem;NAT;Nationalität;NATA;Ausländer;730
