Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358024;      Jülich, Stadt;32653
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358028;      Kreuzau;17444
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358032;      Langerwehe;14028
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358036;      Linnich, Stadt;12662
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358040;      Merzenich;9885
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358044;      Nideggen, Stadt;10001
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358048;      Niederzier;14113
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358052;      Nörvenich;10572
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358056;      Titz;8455
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05358060;      Vettweiß;9397
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05362;    Rhein-Erft-Kreis;470615
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05362004;      Bedburg, Stadt;23658
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05362008;      Bergheim, Stadt;61601
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05362012;      Brühl, Stadt;44126
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05362016;      Elsdorf, Stadt;21807
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05362020;      Erftstadt, Stadt;50010
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05362024;      Frechen, Stadt;52439
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05362028;      Hürth, Stadt;59731
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05362032;      Kerpen, Stadt;66702
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05362036;      Pulheim, Stadt;54194
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05362040;      Wesseling, Stadt;36347
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05366;    Euskirchen, Kreis;193656
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05366004;      Bad Münstereifel, Stadt;17440
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05366008;      Blankenheim;8268
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05366012;      Dahlem;4215
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05366016;      Euskirchen, Stadt;58381
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05366020;      Hellenthal;7863
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05366024;      Kall;11191
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05366028;      Mechernich, Stadt;27714
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05366032;      Nettersheim;7491
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05366036;      Schleiden, Stadt;13128
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05366040;      Weilerswist;17633
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05366044;      Zülpich, Stadt;20332
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05370;    Heinsberg, Kreis;255555
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05370004;      Erkelenz, Stadt;43206
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05370008;      Gangelt;12576
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05370012;      Geilenkirchen, Stadt;27470
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05370016;      Heinsberg, Stadt;42236
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05370020;      Hückelhoven, Stadt;40245
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05370024;      Selfkant;10137
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05370028;      Übach-Palenberg, Stadt;24044
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05370032;      Waldfeucht;8842
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05370036;      Wassenberg, Stadt;18630
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05370040;      Wegberg, Stadt;28169
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374;    Oberbergischer Kreis;272057
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374004;      Bergneustadt, Stadt;18677
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374008;      Engelskirchen;19298
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374012;      Gummersbach, Stadt;50952
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374016;      Hückeswagen, Stadt;14958
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374020;      Lindlar;21315
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374024;      Marienheide;13522
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374028;      Morsbach;10138
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374032;      Nümbrecht;17001
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374036;      Radevormwald, Stadt;21919
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374040;      Reichshof;18600
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374044;      Waldbröl, Stadt;19553
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374048;      Wiehl, Stadt;25161
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05374052;      Wipperfürth, Stadt;20963
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05378;    Rheinisch-Bergischer Kreis;283271
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05378004;      Bergisch Gladbach, Stadt;111846
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05378008;      Burscheid, Stadt;18346
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05378012;      Kürten;19662
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05378016;      Leichlingen (Rhld.), Stadt;28000
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05378020;      Odenthal;14967
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05378024;      Overath, Stadt;27100
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05378028;      Rösrath, Stadt;28631
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05378032;      Wermelskirchen, Stadt;34719
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05382;    Rhein-Sieg-Kreis;600764
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05382004;      Alfter;23563
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05382008;      Bad Honnef, Stadt;25812
